Date,Department,Vendor,Category,Amount,Payment Type
2024-01-15,Engineering,AWS*SERVICES,Cloud Infrastructure,450000,SaaS
2024-01-15,Engineering,MICROSOFT O365,Communication,120000,SaaS
2024-01-15,Marketing,ADOBE-ENTERPRISE,Design Tools,280000,SaaS
2024-01-15,Sales,SALESFORCE,CRM,350000,SaaS
2024-01-15,Engineering,DATADOG,Monitoring,180000,SaaS
2024-01-20,Engineering,SLACK,Communication,95000,SaaS
2024-01-20,Product,JIRA,Project Management,110000,SaaS
2024-01-20,Marketing,HUBSPOT,CRM,220000,SaaS
2024-01-25,Engineering,ZOOM,Communication,85000,SaaS
2024-01-25,Product,ASANA,Project Management,75000,SaaS
2024-02-01,Engineering,AWS*SERVICES,Cloud Infrastructure,480000,SaaS
2024-02-01,Design,FIGMA,Design Tools,95000,SaaS
2024-02-05,Engineering,NEW RELIC,Monitoring,140000,SaaS
2024-02-10,Marketing,CANVA PRO,Design Tools,45000,SaaS
2024-02-15,Sales,SALESFORCE,CRM,350000,SaaS
2024-02-20,Engineering,MICROSOFT TEAMS,Communication,0,SaaS
2024-02-25,Product,TRELLO,Project Management,35000,SaaS
2024-03-01,Engineering,AWS*SERVICES,Cloud Infrastructure,520000,SaaS
2024-03-05,Engineering,GRAFANA CLOUD,Monitoring,95000,SaaS
2024-03-10,Marketing,ADOBE-ENTERPRISE,Design Tools,280000,SaaS
